VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,    "relrms[k]"   ,    "relrms[w]"   
          3,           0,           3,       -3.94498882,      -1.539728184,      -1.390251181,       1.541226233,      0.9688462111,       5.764214854,     0.07095435509,     -0.4819500744,                 0,                 0,                 0,    -0.05530865775,     0.07095435509,     -0.4819500744,                 0,      -6.792395954,              -nan,     -0.2517315042,     -0.2263896376,     -0.1271786714,     -0.2549361352,   -0.002217988801,     -0.7226940548
          3,           0,           4,      -3.992760397,      -1.576861254,      -1.415187552,       1.489925609,       0.969291808,       5.936470126,     0.06907417774,     -0.4636343196,                 0,                 0,                 0,    -0.04665164211,     0.06907417774,     -0.4636343196,                 0,      -6.712122168,              -nan,     -0.2995030809,     -0.2635227072,     -0.1521150419,     -0.3062367592,   -0.001772391866,     -0.5504387825
          4,           0,           0,      -2.371535692,     0.07835236212,      0.1192873909,       3.060179573,       1.572049164,       6.333395739,     0.06427026612,     -0.4214874802,                 0,                 0,                 0,    -0.02888011047,     0.06427026612,     -0.4214874802,                 0,      -6.558047845,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          4,           0,           1,      -2.830959549,     -0.4130048831,      -0.404612396,       2.615703261,      0.5970118885,       6.325972624,     0.06179822979,     -0.4021930892,                 0,                 0,                 0,    -0.02010696672,     0.06179822979,     -0.4021930892,                 0,       -6.50816521,              -nan,      -0.459423857,     -0.4913572452,     -0.5238997868,     -0.4444763117,      -0.975037275,   -0.007423114999
          4,           0,           2,      -3.150431784,      -0.805851977,     -0.8096268334,       2.319204992,     -0.4544254763,       5.711546428,     0.05962313823,     -0.3867398223,                 0,                 0,                 0,    -0.01237553224,     0.05962313823,     -0.3867398223,                 0,      -6.486405006,              -nan,     -0.7788960923,     -0.8842043391,     -0.9289142242,     -0.7409745806,       -2.02647464,     -0.6218493106
          4,           0,           3,       -3.41056554,       -1.06712347,      -1.044829268,       2.079737443,     -0.7121480733,       5.077974621,      0.0576729675,     -0.3722335483,                 0,                 0,                 0,   -0.004818502283,      0.0576729675,     -0.3722335483,                 0,      -6.454211817,              -nan,      -1.039029848,      -1.145475832,      -1.164116659,     -0.9804421294,      -2.284197237,      -1.255421118
          4,           0,           4,      -3.634876256,      -1.247852557,       -1.20272077,        1.87279235,     -0.7815301645,       4.356245165,     0.05604798027,     -0.3588245825,                 0,                 0,                 0,     0.00238655109,     0.05604798027,     -0.3588245825,                 0,      -6.402096574,              -nan,      -1.263340565,      -1.326204919,      -1.322008161,      -1.187387222,      -2.353579328,      -1.977150574
          4,           0,           0,      -3.819525345,      -1.386088843,      -1.321503521,       1.697485089,      -1.386977562,       3.407762839,     0.05504918326,     -0.3501556103,                 0,                 0,                 0,    0.007385939189,     0.05504918326,     -0.3501556103,                 0,      -6.360777572,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          4,           0,           1,      -3.955520824,      -1.489720456,      -1.405910781,       1.557979493,      -2.176665137,       3.032265426,     0.05390844532,     -0.3384276206,                 0,                 0,                 0,      0.0142984696,     0.05390844532,     -0.3384276206,                 0,      -6.277821936,              -nan,     -0.1359954785,     -0.1036316121,    -0.08440725995,     -0.1395055956,     -0.7896875742,     -0.3754974128
          4,           0,           2,      -4.044528727,      -1.562921038,      -1.462927885,       1.456374744,      -2.225336098,       2.983489174,      0.0527794212,     -0.3270200099,                 0,                 0,                 0,     0.02130809481,      0.0527794212,     -0.3270200099,                 0,      -6.195975675,              -nan,     -0.2250033817,     -0.1768321949,     -0.1414243639,     -0.2411103449,     -0.8383585359,      -0.424273664
